data,preco,volume,symbol
2025-03-30,82389.99,9864.49508,BTCUSDT
2025-03-31,82550.01,20569.13885,BTCUSDT
2025-04-01,85158.34,20190.39697,BTCUSDT
2025-04-02,82516.29,39931.457,BTCUSDT
2025-04-03,83213.09,27337.84135,BTCUSDT
2025-04-04,83889.87,32915.53976,BTCUSDT
2025-04-05,83537.99,9360.40468,BTCUSDT
2025-04-06,78430.0,27942.71436,BTCUSDT
2025-04-07,79163.24,78387.53089,BTCUSDT
2025-04-08,76322.42,35317.32063,BTCUSDT
2025-04-09,82615.22,75488.28772,BTCUSDT
2025-04-10,79607.3,33284.80718,BTCUSDT
2025-04-11,83423.84,34435.43797,BTCUSDT
2025-04-12,85276.9,18470.74437,BTCUSDT
2025-04-13,83760.0,24680.04181,BTCUSDT
2025-04-14,84591.58,28659.09348,BTCUSDT
2025-04-15,83643.99,20910.99528,BTCUSDT
2025-04-16,84030.38,20867.24519,BTCUSDT
2025-04-17,84947.91,13728.84772,BTCUSDT
2025-04-18,84474.69,6529.96315,BTCUSDT
2025-04-19,85077.01,9666.58153,BTCUSDT
2025-04-20,85179.24,8091.67725,BTCUSDT
2025-04-21,87516.23,31773.37262,BTCUSDT
2025-04-22,93442.99,43872.74705,BTCUSDT
2025-04-23,93691.08,27404.16808,BTCUSDT
2025-04-24,93980.47,19497.06071,BTCUSDT
2025-04-25,94638.68,27500.66648,BTCUSDT
2025-04-26,94628.0,9415.06875,BTCUSDT
2025-04-27,93749.3,11162.841,BTCUSDT
2025-04-28,95011.18,22157.53351,BTCUSDT
2025-04-29,94256.82,16955.3402,BTCUSDT
2025-04-30,94172.0,17661.2751,BTCUSDT
2025-05-01,96489.91,21380.45343,BTCUSDT
2025-05-02,96887.14,14905.74811,BTCUSDT
2025-05-03,95856.42,9723.34838,BTCUSDT
2025-05-04,94277.62,11036.38342,BTCUSDT
2025-05-05,94733.68,17251.18189,BTCUSDT
2025-05-06,96834.02,16122.64513,BTCUSDT
2025-05-07,97030.5,16644.83854,BTCUSDT
2025-05-08,103261.6,34962.02847,BTCUSDT
2025-05-09,102971.99,27617.39907,BTCUSDT
2025-05-10,104809.53,15324.78611,BTCUSDT
2025-05-11,104118.0,17987.12197,BTCUSDT
